anno;ats_struttura;codice_struttura_di_ricovero;descrizione_struttura_di_ricovero;coordinata_geografica_x;coordinata_geografica_y;codice_disciplina;descrizione_disciplina;tipologia_assistenza;tipo_drg;codice_drg;descrizione_drg;codice_acc_di_diagnosi;descrizione_acc_di_diagnosi;codice_mdc;descrizione_mdc;totale_ricoveri;ricoveri_do;ricoveri_ordinari_01_giorni;ricoveri_dh;ricoveri_ds;giornate_degenza_do;accessi_dh;accessi_ds;giornate_degenza_totali;dimissioni_volontarie;trasferimenti;ricoveri_ripetuti;ritorni_in_sala_operatoria
2019;323 - ATS DELLA MONTAGNA;030042-00;OSPEDALE SONDRIO;46.1707552;9.879429303;34;OCULISTICA;A;M;47;ALTRE MAL. OCCHIO, ETA' > 17 SENZA CC;240;USTIONI;2;MALATTIE E DISTURBI OCCHIO;1;1;0;0;0;3;0;0;3;0;0;0;0
2019;326 - ATS DI BRESCIA;030184-00;OSPEDALE DI MANERBIO;45.35666995;10.14405823;34;OCULISTICA;A;C;38;INT. PRIMARI SU IRIDE;88;GLAUCOMA;2;MALATTIE E DISTURBI OCCHIO;1;1;0;0;0;10;0;0;10;0;0;0;0
2012;325 - ATS DI BERGAMO;030140-00;OSPEDALE BOLOGNINI - SERIATE;45.68364972;9.716990446;9;CHIRURGIA GENERALE;A;M;487;ALTRI TRAUMATISMI MULTIPLI RILEVANTI;233;TRAUMATISMO INTRACRANICO;24;TRAUMATISMI MULTIPLI;1;1;0;0;0;21;0;0;21;0;0;0;0
2019;324 - ATS DELLA BRIANZA;030909-00;OSPEDALE S.GERARDO - MONZA;45.60018518;9.258430902;9;CHIRURGIA GENERALE;A;C;163;INT. ERNIA, ETA' < 18;143;ERNIA ADDOMINALE;6;MALATTIE E DISTURBI APPARATO DIGERENTE;7;0;0;0;7;0;0;7;7;0;0;0;0
2017;322 - ATS DELL'INSUBRIA;030901-01;OSPEDALE DI CIRCOLO E FONDAZIONE MACCHI;45.80802245;8.837196022;32;NEUROLOGIA;A;M;45;MAL. NEUROLOGICHE OCCHIO;89;CECITA' E DIFETTI VISIVI;2;MALATTIE E DISTURBI OCCHIO;2;2;0;0;0;21;0;0;21;1;0;0;0
2014;324 - ATS DELLA BRIANZA;030068-00;PRESIDIO OSPEDALIERO DI DESIO;45.62966255;9.197498905;32;NEUROLOGIA;A;M;564;CEFALEA, ETÀ > 17 ANNI;670;ALTRI DISTURBI;1;MALATTIE E DISTURBI SISTEMA NERVOSO;4;4;0;0;0;36;0;0;36;0;0;0;0
2017;323 - ATS DELLA MONTAGNA;030042-00;OSPEDALE SONDRIO;46.1707552;9.879429303;26;MEDICINA GENERALE;A;M;141;SINCOPE E COLLASSO CON CC;245;SINCOPE;5;MALATTIE E DISTURBI SISTEMA CARDIOCIRCOLATORIO;3;3;0;0;0;39;0;0;39;0;0;0;0
2017;325 - ATS DI BERGAMO;030382-00;OSPEDALE M. O. ANTONIO LOCATELLI-PIARIO;45.89167965;9.92275865;9;CHIRURGIA GENERALE;A;M;511;USTIONI NON ESTESE SENZA CC O TRAUMI RILEVANTI;240;USTIONI;22;USTIONI;1;1;0;0;0;2;0;0;2;0;0;0;0
2015;323 - ATS DELLA MONTAGNA;030042-00;OSPEDALE SONDRIO;46.1707552;9.879429303;26;MEDICINA GENERALE;A;M;511;USTIONI NON ESTESE SENZA CC O TRAUMI RILEVANTI;240;USTIONI;22;USTIONI;1;1;0;0;0;11;0;0;11;0;0;0;0
2015;328 - ATS DI PAVIA;030924-00;POLICLINICO S. MATTEO - PAVIA;45.19564231;9.147460893;68;PNEUMOLOGIA;A;M;98;BRONCHITE E ASMA, ETA' < 18;128;ASMA;4;MALATTIE E DISTURBI APPARATO RESPIRATORIO;2;1;0;1;0;13;1;0;14;0;0;0;0
2018;322 - ATS DELL'INSUBRIA;030902-00;OSPEDALE S. ANNA - COMO;45.80216962;9.039360974;39;PEDIATRIA;A;M;142;SINCOPE E COLLASSO SENZA CC;245;SINCOPE;5;MALATTIE E DISTURBI SISTEMA CARDIOCIRCOLATORIO;8;8;0;0;0;20;0;0;20;0;0;0;0
2017;322 - ATS DELL'INSUBRIA;030030-00;OSPEDALE  VALDUCE;45.810159;9.087697664;39;PEDIATRIA;A;M;429;DISTURBI ORGANICI E RITARDO MENTALE;259;CODICI RESIDUI, NON CLASSIFICATI;19;MALATTIE E DISTURBI MENTALI;2;2;1;0;0;8;0;0;8;0;0;0;0
2016;323 - ATS DELLA MONTAGNA;030042-00;OSPEDALE SONDRIO;46.1707552;9.879429303;34;OCULISTICA;A;C;38;INT. PRIMARI SU IRIDE;86;CATARATTA;2;MALATTIE E DISTURBI OCCHIO;2;0;0;0;2;0;0;2;2;0;0;0;0
2018;325 - ATS DI BERGAMO;030905-00;OSPEDALE PAPA GIOVANNI XXIII - BG;45.68701679;9.63853045;18;EMATOLOGIA;A;C;481;TRAPIANTO DI MIDOLLO OSSEO;39;LEUCEMIE;PR;PREMDC (DRG SENZA SPECIFICA MDC);58;58;0;0;0;1752;0;0;1752;0;0;0;0
2017;328 - ATS DI PAVIA;030924-00;POLICLINICO S. MATTEO - PAVIA;45.19564231;9.147460893;68;PNEUMOLOGIA;A;M;82;NEOPLASIE APP. RESPIRATORIO;42;TUMORI MALIGNI SECONDARI;4;MALATTIE E DISTURBI APPARATO RESPIRATORIO;11;11;0;0;0;143;0;0;143;0;0;0;0
2017;324 - ATS DELLA BRIANZA;030909-00;OSPEDALE S.GERARDO - MONZA;45.60018518;9.258430902;32;NEUROLOGIA;A;M;564;CEFALEA, ETÀ > 17 ANNI;670;ALTRI DISTURBI;1;MALATTIE E DISTURBI SISTEMA NERVOSO;8;8;0;0;0;60;0;0;60;0;0;0;0
2013;322 - ATS DELL'INSUBRIA;030006-00;OSP. S. ANTONIO ABATE - GALLARATE;45.6556815;8.792407598;51;ASTANTERIA;A;M;83;TRAUMI MAGGIORI TORACE CON CC;231;ALTRE FRATTURE;4;MALATTIE E DISTURBI APPARATO RESPIRATORIO;1;1;0;0;0;2;0;0;2;0;0;0;0
2013;323 - ATS DELLA MONTAGNA;030042-00;OSPEDALE SONDRIO;46.1707552;9.879429303;34;OCULISTICA;A;C;40;INT. EXTRAOCULARI ESCL. ORBITA, ETA' > 17;240;USTIONI;2;MALATTIE E DISTURBI OCCHIO;1;1;0;0;0;22;0;0;22;0;0;0;0
2014;321 - ATS DELLA CITTA' METROPOLITANA DI MILANO;030087-00;OSPEDALE CADUTI BOLLATESI - BOLLATE;45.54139149;9.117475812;34;OCULISTICA;A;C;37;INT. SU ORBITA;88;GLAUCOMA;2;MALATTIE E DISTURBI OCCHIO;1;1;0;0;0;2;0;0;2;0;0;0;0
2018;321 - ATS DELLA CITTA' METROPOLITANA DI MILANO;030935-00;IRCCS    S. RAFFAELE - MILANO;45.50615215;9.267120553;34;OCULISTICA;A;C;36;INT. SU RETINA;88;GLAUCOMA;2;MALATTIE E DISTURBI OCCHIO;1;1;1;0;0;1;0;0;1;0;0;0;0
2016;326 - ATS DI BRESCIA;030906-00;PRES.OSPEDAL.SPEDALI CIVILI BRESCIA;45.55518065;10.23255305;34;OCULISTICA;A;M;48;ALTRE MAL. OCCHIO, ETA' < 18;217;ALTRE ANOMALIE CONGENITE;2;MALATTIE E DISTURBI OCCHIO;1;0;0;1;0;0;1;0;1;0;0;0;0
2015;324 - ATS DELLA BRIANZA;030909-00;OSPEDALE S.GERARDO - MONZA;45.60018518;9.258430902;29;NEFROLOGIA;A;M;141;SINCOPE E COLLASSO CON CC;245;SINCOPE;5;MALATTIE E DISTURBI SISTEMA CARDIOCIRCOLATORIO;1;1;0;0;0;5;0;0;5;0;0;0;0
2018;328 - ATS DI PAVIA;030938-00;IRCCS CENTRO MEDICO DI PAVIA;45.20076006;9.165603754;26;MEDICINA GENERALE;A;M;47;ALTRE MAL. OCCHIO, ETA' > 17 SENZA CC;50;DIABETE MELLITO CON COMPLICANZE;2;MALATTIE E DISTURBI OCCHIO;5;5;0;0;0;46;0;0;46;0;0;2;0
2019;322 - ATS DELL'INSUBRIA;030029-00;OSP.SACRA FAMIGLIA - F.B.F. - ERBA;45.81547075;9.225044427;26;MEDICINA GENERALE;A;M;430;PSICOSI;657;DISTURBI DELL'UMORE;19;MALATTIE E DISTURBI MENTALI;1;1;0;0;0;8;0;0;8;0;0;0;0
2014;321 - ATS DELLA CITTA' METROPOLITANA DI MILANO;030067-00;OSPEDALE MAGGIORE DI LODI;45.31535435;9.510140481;12;CHIRURGIA PLASTICA;A;M;511;USTIONI NON ESTESE SENZA CC O TRAUMI RILEVANTI;240;USTIONI;22;USTIONI;1;1;0;0;0;6;0;0;6;0;0;0;0
2019;326 - ATS DI BRESCIA;030906-00;PRES.OSPEDAL.SPEDALI CIVILI BRESCIA;45.55518065;10.23255305;68;PNEUMOLOGIA;A;M;97;BRONCHITE E ASMA, ETA' > 17 SENZA CC;128;ASMA;4;MALATTIE E DISTURBI APPARATO RESPIRATORIO;9;9;0;0;0;56;0;0;56;0;0;0;0
2013;324 - ATS DELLA BRIANZA;030106-00;CASA DI CURA POLICLINICO - MONZA;45.5823624;9.294368903;32;NEUROLOGIA;A;M;564;CEFALEA, ETÀ > 17 ANNI;670;ALTRI DISTURBI;1;MALATTIE E DISTURBI SISTEMA NERVOSO;1;1;0;0;0;7;0;0;7;0;0;0;0
2018;328 - ATS DI PAVIA;030938-00;IRCCS CENTRO MEDICO DI PAVIA;45.20076006;9.165603754;26;MEDICINA GENERALE;A;M;130;MAL. VASCOLARI PERIFERICHE CON CC;248;GANGRENA;5;MALATTIE E DISTURBI SISTEMA CARDIOCIRCOLATORIO;1;1;0;0;0;16;0;0;16;0;0;0;0
2019;323 - ATS DELLA MONTAGNA;030042-00;OSPEDALE SONDRIO;46.1707552;9.879429303;21;GERIATRIA;A;M;12;MAL. DEGENERATIVE SIST. NERVOSO;82;PARALISI;1;MALATTIE E DISTURBI SISTEMA NERVOSO;7;7;0;0;0;37;0;0;37;0;0;0;0
2018;323 - ATS DELLA MONTAGNA;030042-00;OSPEDALE SONDRIO;46.1707552;9.879429303;34;OCULISTICA;A;C;37;INT. SU ORBITA;91;ALTRI DISTURBI DEGLI OCCHI;2;MALATTIE E DISTURBI OCCHIO;2;2;0;0;0;5;0;0;5;0;0;0;0
2017;322 - ATS DELL'INSUBRIA;030030-00;OSPEDALE  VALDUCE;45.810159;9.087697664;32;NEUROLOGIA;A;M;12;MAL. DEGENERATIVE SIST. NERVOSO;82;PARALISI;1;MALATTIE E DISTURBI SISTEMA NERVOSO;2;2;0;0;0;7;0;0;7;0;0;0;0
2014;326 - ATS DI BRESCIA;030295-00;FONDAZIONE POLIAMBULANZA - BRESCIA;45.51939749;10.23594122;26;MEDICINA GENERALE;A;M;487;ALTRI TRAUMATISMI MULTIPLI RILEVANTI;233;TRAUMATISMO INTRACRANICO;24;TRAUMATISMI MULTIPLI;1;1;0;0;0;4;0;0;4;0;0;0;0
2019;326 - ATS DI BRESCIA;030156-00;OSPEDALE DI DESENZANO;45.4098217;10.56462005;8;CARDIOLOGIA;A;M;97;BRONCHITE E ASMA, ETA' > 17 SENZA CC;125;BRONCHITE ACUTA;4;MALATTIE E DISTURBI APPARATO RESPIRATORIO;2;2;0;0;0;10;0;0;10;0;0;0;0
2019;328 - ATS DI PAVIA;030194-00;OSPEDALE CIVILE - VOGHERA;44.99301965;9.014096301;32;NEUROLOGIA;A;M;487;ALTRI TRAUMATISMI MULTIPLI RILEVANTI;233;TRAUMATISMO INTRACRANICO;24;TRAUMATISMI MULTIPLI;2;2;0;0;0;9;0;0;9;0;0;0;0
2016;323 - ATS DELLA MONTAGNA;030045-00;OSPEDALE  MORBEGNO;46.13375722;9.57394838;60;LUNGODEGENTI;L;M;131;MAL. VASCOLARI PERIFERICHE SENZA CC;248;GANGRENA;5;MALATTIE E DISTURBI SISTEMA CARDIOCIRCOLATORIO;1;1;0;0;0;20;0;0;20;0;0;0;0
2014;322 - ATS DELL'INSUBRIA;030902-00;OSPEDALE S. ANNA - COMO;45.80216962;9.039360974;49;TERAPIA INTENSIVA;A;C;486;ALTRI INT.CHIR. PER TRAUMATISMI MULTIPLI RILEVANTI;231;ALTRE FRATTURE;24;TRAUMATISMI MULTIPLI;1;1;1;0;0;1;0;0;1;0;0;0;0
2019;328 - ATS DI PAVIA;030939-00;FOND.IST.NEUROL.C.MONDINO-PAVIA;45.20086141;9.14034225;75;NEURO-RIABILITAZIONE;R;M;430;PSICOSI;657;DISTURBI DELL'UMORE;19;MALATTIE E DISTURBI MENTALI;8;8;0;0;0;209;0;0;209;0;0;0;0
2018;326 - ATS DI BRESCIA;030906-00;PRES.OSPEDAL.SPEDALI CIVILI BRESCIA;45.55518065;10.23255305;32;NEUROLOGIA;A;M;45;MAL. NEUROLOGICHE OCCHIO;89;CECITA' E DIFETTI VISIVI;2;MALATTIE E DISTURBI OCCHIO;14;14;0;0;0;91;0;0;91;0;0;0;0
2016;326 - ATS DI BRESCIA;030156-00;OSPEDALE DI DESENZANO;45.4098217;10.56462005;39;PEDIATRIA;A;M;417;SETTICEMIA, ETA' < 18;2;SETTICEMIA (ESCLUSO IN TRAVAGLIO);18;MALATTIE INFETTIVE E PARASSITARIE;4;4;0;0;0;28;0;0;28;0;0;0;0
2013;323 - ATS DELLA MONTAGNA;030042-00;OSPEDALE SONDRIO;46.1707552;9.879429303;60;LUNGODEGENTI;L;M;508;USTIONESPESS SNZ TRPPELLE/LESINAL CON CC/TRAUMRIL;240;USTIONI;22;USTIONI;1;1;0;0;0;36;0;0;36;0;0;0;0
2016;321 - ATS DELLA CITTA' METROPOLITANA DI MILANO;030935-00;IRCCS    S. RAFFAELE - MILANO;45.50615215;9.267120553;32;NEUROLOGIA;A;M;430;PSICOSI;657;DISTURBI DELL'UMORE;19;MALATTIE E DISTURBI MENTALI;1;1;0;0;0;7;0;0;7;0;0;0;0
2018;322 - ATS DELL'INSUBRIA;030902-00;OSPEDALE S. ANNA - COMO;45.80216962;9.039360974;39;PEDIATRIA;A;M;423;ALTRE DIA. INFETTIVE E PARASSITARIE;4;MICOSI;18;MALATTIE INFETTIVE E PARASSITARIE;1;1;0;0;0;16;0;0;16;0;0;0;0
2019;323 - ATS DELLA MONTAGNA;030042-00;OSPEDALE SONDRIO;46.1707552;9.879429303;34;OCULISTICA;A;C;42;INT. INTRAOCULARI ESCL. RETINA,IRIDE E CRISTALLINO;88;GLAUCOMA;2;MALATTIE E DISTURBI OCCHIO;5;0;0;0;5;0;0;5;5;0;0;0;0
2016;326 - ATS DI BRESCIA;030161-00;PRESIDIO OSPEDALIERO DI SALO';45.60526271;10.52178742;40;PSICHIATRIA;A;M;430;PSICOSI;655;DISTURBI DELL'ETA' PRE ADULTA;19;MALATTIE E DISTURBI MENTALI;1;1;0;0;0;15;0;0;15;0;0;0;0
2019;327 - ATS DELLA VAL PADANA;030227-01;PRESIDIO OSPEDALIERO - ASOLA;45.22356119;10.41218691;26;MEDICINA GENERALE;A;M;430;PSICOSI;657;DISTURBI DELL'UMORE;19;MALATTIE E DISTURBI MENTALI;1;1;0;0;0;9;0;0;9;0;0;0;0
2017;322 - ATS DELL'INSUBRIA;030902-00;OSPEDALE S. ANNA - COMO;45.80216962;9.039360974;32;NEUROLOGIA;A;M;9;MAL. E TRAUMATISMI MIDOLLO SPINALE;82;PARALISI;1;MALATTIE E DISTURBI SISTEMA NERVOSO;10;10;0;0;0;219;0;0;219;0;0;1;0
2017;327 - ATS DELLA VAL PADANA;030908-00;ISTITUTI OSPITALIERI - CREMONA;45.1439181;10.02604335;38;OTORINOLARINGOIATRIA;A;M;509;USTIONESPESS SNZ TRPPELLE/LESINAL SNZ CC/TRAUMRIL;240;USTIONI;22;USTIONI;1;1;0;0;0;2;0;0;2;0;0;0;0
2017;323 - ATS DELLA MONTAGNA;030042-00;OSPEDALE SONDRIO;46.1707552;9.879429303;9;CHIRURGIA GENERALE;A;M;511;USTIONI NON ESTESE SENZA CC O TRAUMI RILEVANTI;240;USTIONI;22;USTIONI;1;1;0;0;0;4;0;0;4;0;0;0;0
2016;328 - ATS DI PAVIA;030194-00;OSPEDALE CIVILE - VOGHERA;44.99301965;9.014096301;32;NEUROLOGIA;A;M;142;SINCOPE E COLLASSO SENZA CC;245;SINCOPE;5;MALATTIE E DISTURBI SISTEMA CARDIOCIRCOLATORIO;5;5;0;0;0;31;0;0;31;0;0;0;0
2018;322 - ATS DELL'INSUBRIA;030029-00;OSP.SACRA FAMIGLIA - F.B.F. - ERBA;45.81547075;9.225044427;39;PEDIATRIA;A;M;427;NEVROSI ESCL. NEVROSI DEPRESSIVE;670;ALTRI DISTURBI;19;MALATTIE E DISTURBI MENTALI;1;1;0;0;0;3;0;0;3;0;0;0;0
2018;324 - ATS DELLA BRIANZA;030909-00;OSPEDALE S.GERARDO - MONZA;45.60018518;9.258430902;32;NEUROLOGIA;A;M;12;MAL. DEGENERATIVE SIST. NERVOSO;82;PARALISI;1;MALATTIE E DISTURBI SISTEMA NERVOSO;5;5;0;0;0;75;0;0;75;0;0;0;0
2018;323 - ATS DELLA MONTAGNA;030042-00;OSPEDALE SONDRIO;46.1707552;9.879429303;37;OSTETRICIA E GINECOLOGIA;A;M;373;PARTO VAGINALE SENZA CC;185;GRAVIDANZA PROTRATTA;14;GRAVIDANZA, PARTO E PUERPERIO;23;23;0;0;0;74;0;0;74;0;0;0;0
2014;326 - ATS DI BRESCIA;030295-00;FONDAZIONE POLIAMBULANZA - BRESCIA;45.51939749;10.23594122;34;OCULISTICA;A;C;39;INT. SU CRISTALLINO CON O SENZA VITRECTOMIA;88;GLAUCOMA;2;MALATTIE E DISTURBI OCCHIO;1;1;0;0;0;5;0;0;5;0;0;0;0
2015;325 - ATS DI BERGAMO;030905-00;OSPEDALE PAPA GIOVANNI XXIII - BG;45.68701679;9.63853045;98;DAY SURGERY;A;C;41;INT. EXTRAOCULARI ESCL. ORBITA, ETA' < 18;88;GLAUCOMA;2;MALATTIE E DISTURBI OCCHIO;3;0;0;0;3;0;0;3;3;0;0;0;0
2014;324 - ATS DELLA BRIANZA;030078-00;PRESIDIO OSPEDALIERO DI VIMERCATE;45.6084494;9.3580982;26;MEDICINA GENERALE;A;M;141;SINCOPE E COLLASSO CON CC;245;SINCOPE;5;MALATTIE E DISTURBI SISTEMA CARDIOCIRCOLATORIO;1;1;0;0;0;8;0;0;8;0;0;0;0
2013;323 - ATS DELLA MONTAGNA;030274-02;OSPEDALE VALCAMONICA - EDOLO;46.17850585;10.33062365;26;MEDICINA GENERALE;A;M;571;MALATTIE MAGGIORI DELL'ESOFAGO;4;MICOSI;6;MALATTIE E DISTURBI APPARATO DIGERENTE;1;1;0;0;0;5;0;0;5;0;0;0;0
2013;324 - ATS DELLA BRIANZA;030909-00;OSPEDALE S.GERARDO - MONZA;45.60018518;9.258430902;26;MEDICINA GENERALE;A;M;34;ALTRE MAL. SIST. NERVOSO CON CC;82;PARALISI;1;MALATTIE E DISTURBI SISTEMA NERVOSO;1;1;0;0;0;9;0;0;9;0;0;0;0
2014;322 - ATS DELL'INSUBRIA;030902-00;OSPEDALE S. ANNA - COMO;45.80216962;9.039360974;34;OCULISTICA;A;C;36;INT. SU RETINA;91;ALTRI DISTURBI DEGLI OCCHI;2;MALATTIE E DISTURBI OCCHIO;1;1;0;0;0;2;0;0;2;0;0;0;0
2013;322 - ATS DELL'INSUBRIA;030282-01;OSPED.CIRCOLO CAUSA PIA LUVINI-CITTIGLIO;45.89454799;8.667453032;26;MEDICINA GENERALE;A;M;430;PSICOSI;657;DISTURBI DELL'UMORE;19;MALATTIE E DISTURBI MENTALI;1;1;0;0;0;3;0;0;3;0;0;0;0
2019;327 - ATS DELLA VAL PADANA;030908-00;OSPEDALE DI CREMONA;45.1439181;10.02604335;64;ONCOLOGIA;A;M;421;MAL. DI ORIGINE VIRALE, ETA' > 17;7;INFEZIONI VIRALI;18;MALATTIE INFETTIVE E PARASSITARIE;1;1;0;0;0;21;0;0;21;0;0;0;0
2018;328 - ATS DI PAVIA;030191-00;OSPEDALE S.MARTINO - MEDE;45.0916877;8.730877198;26;MEDICINA GENERALE;A;M;142;SINCOPE E COLLASSO SENZA CC;245;SINCOPE;5;MALATTIE E DISTURBI SISTEMA CARDIOCIRCOLATORIO;3;3;0;0;0;21;0;0;21;0;0;0;0
2015;323 - ATS DELLA MONTAGNA;030042-00;OSPEDALE SONDRIO;46.1707552;9.879429303;39;PEDIATRIA;A;M;95;PNEUMOTORACE SENZA CC;234;SCHIACCIAMENTO O TRAUMATISMO INTERNO;4;MALATTIE E DISTURBI APPARATO RESPIRATORIO;1;1;0;0;0;2;0;0;2;0;0;0;0
2016;325 - ATS DI BERGAMO;030146-00;CASA DI CURA S. FRANCESCO - BERGAMO;45.69772083;9.655796731;26;MEDICINA GENERALE;A;M;430;PSICOSI;657;DISTURBI DELL'UMORE;19;MALATTIE E DISTURBI MENTALI;2;2;0;0;0;15;0;0;15;0;0;0;0
2019;328 - ATS DI PAVIA;030193-00;OSPEDALE CIVILE - VIGEVANO;45.32134211;8.865051428;37;OSTETRICIA E GINECOLOGIA;A;M;373;PARTO VAGINALE SENZA CC;185;GRAVIDANZA PROTRATTA;14;GRAVIDANZA, PARTO E PUERPERIO;24;24;0;0;0;118;0;0;118;0;0;0;0
2014;325 - ATS DI BERGAMO;030145-00;CLINICA  CASTELLI - BERGAMO;45.69587292;9.656151701;98;DAY SURGERY;A;C;163;INT. ERNIA, ETA' < 18;143;ERNIA ADDOMINALE;6;MALATTIE E DISTURBI APPARATO DIGERENTE;1;0;0;0;1;0;0;1;1;0;0;0;0
2016;326 - ATS DI BRESCIA;030163-00;PRESIDIO OSPEDALIERO DI ISEO;45.66237981;10.0510524;37;OSTETRICIA E GINECOLOGIA;A;M;380;ABORTO SENZA D&C;177;ABORTO SPONTANEO;14;GRAVIDANZA, PARTO E PUERPERIO;3;3;2;0;0;6;0;0;6;0;0;0;0
2016;324 - ATS DELLA BRIANZA;030068-00;PRESIDIO OSPEDALIERO DI DESIO;45.62966255;9.197498905;34;OCULISTICA;A;C;38;INT. PRIMARI SU IRIDE;88;GLAUCOMA;2;MALATTIE E DISTURBI OCCHIO;1;1;1;0;0;1;0;0;1;0;0;0;0
2014;322 - ATS DELL'INSUBRIA;030902-00;OSPEDALE S. ANNA - COMO;45.80216962;9.039360974;98;DAY SURGERY;A;M;511;USTIONI NON ESTESE SENZA CC O TRAUMI RILEVANTI;240;USTIONI;22;USTIONI;1;0;0;1;0;0;1;0;1;0;0;0;0
2016;323 - ATS DELLA MONTAGNA;030904-00;OSPEDALE MORELLI - SONDALO;46.33431031;10.32968894;68;PNEUMOLOGIA;A;M;98;BRONCHITE E ASMA, ETA' < 18;125;BRONCHITE ACUTA;4;MALATTIE E DISTURBI APPARATO RESPIRATORIO;1;1;0;0;0;3;0;0;3;0;0;0;0
2016;325 - ATS DI BERGAMO;030905-00;OSPEDALE PAPA GIOVANNI XXIII - BG;45.68701679;9.63853045;68;PNEUMOLOGIA;A;M;423;ALTRE DIA. INFETTIVE E PARASSITARIE;4;MICOSI;18;MALATTIE INFETTIVE E PARASSITARIE;3;3;0;0;0;75;0;0;75;0;0;0;0
2019;323 - ATS DELLA MONTAGNA;030904-00;OSPEDALE MORELLI - SONDALO;46.33431031;10.32968894;30;NEUROCHIRURGIA;A;M;487;ALTRI TRAUMATISMI MULTIPLI RILEVANTI;233;TRAUMATISMO INTRACRANICO;24;TRAUMATISMI MULTIPLI;5;5;1;0;0;59;0;0;59;0;0;0;0
2016;326 - ATS DI BRESCIA;030295-00;FONDAZIONE POLIAMBULANZA - BRESCIA;45.51939749;10.23594122;21;GERIATRIA;A;M;430;PSICOSI;657;DISTURBI DELL'UMORE;19;MALATTIE E DISTURBI MENTALI;4;4;0;0;0;106;0;0;106;0;0;0;0
2015;327 - ATS DELLA VAL PADANA;030219-00;CASA DI CURA FIGLIE DI S.CAMILLO-CR;45.14605997;10.0131151;26;MEDICINA GENERALE;A;M;571;MALATTIE MAGGIORI DELL'ESOFAGO;4;MICOSI;6;MALATTIE E DISTURBI APPARATO DIGERENTE;1;1;0;0;0;6;0;0;6;0;0;0;0
2016;322 - ATS DELL'INSUBRIA;030006-00;OSP. S. ANTONIO ABATE - GALLARATE;45.6556815;8.792407598;26;MEDICINA GENERALE;A;M;426;NEVROSI DEPRESSIVE;657;DISTURBI DELL'UMORE;19;MALATTIE E DISTURBI MENTALI;1;1;0;0;0;21;0;0;21;0;0;0;0
2014;323 - ATS DELLA MONTAGNA;030042-00;OSPEDALE SONDRIO;46.1707552;9.879429303;64;ONCOLOGIA;A;M;11;NEOPLASIE SIST. NERVOSO SENZA CC;42;TUMORI MALIGNI SECONDARI;1;MALATTIE E DISTURBI SISTEMA NERVOSO;1;1;0;0;0;25;0;0;25;0;0;0;0
2012;322 - ATS DELL'INSUBRIA;030008-00;OSP. GENERALE PROVINCIALE - SARONNO;45.62782133;9.040169373;37;OSTETRICIA E GINECOLOGIA;A;C;371;PARTO CESAREO SENZA CC;670;ALTRI DISTURBI;14;GRAVIDANZA, PARTO E PUERPERIO;1;1;0;0;0;4;0;0;4;0;0;0;0
2015;321 - ATS DELLA CITTA' METROPOLITANA DI MILANO;030281-01;OSPEDALE CIVILE DI LEGNANO;45.57377537;8.9059185;26;MEDICINA GENERALE;A;M;430;PSICOSI;657;DISTURBI DELL'UMORE;19;MALATTIE E DISTURBI MENTALI;1;1;0;0;0;4;0;0;4;0;0;0;0
2015;328 - ATS DI PAVIA;030194-00;OSPEDALE CIVILE - VOGHERA;44.99301965;9.014096301;34;OCULISTICA;A;M;44;INFEZ. ACUTE MAGGIORI OCCHIO;91;ALTRI DISTURBI DEGLI OCCHI;2;MALATTIE E DISTURBI OCCHIO;1;1;0;0;0;6;0;0;6;0;0;0;0
2017;322 - ATS DELL'INSUBRIA;030282-01;OSPED.CIRCOLO CAUSA PIA LUVINI-CITTIGLIO;45.89454799;8.667453032;98;DAY SURGERY;A;M;380;ABORTO SENZA D&C;177;ABORTO SPONTANEO;14;GRAVIDANZA, PARTO E PUERPERIO;1;0;0;1;0;0;1;0;1;0;0;0;0
2019;325 - ATS DI BERGAMO;030905-00;OSPEDALE PAPA GIOVANNI XXIII - BG;45.68701679;9.63853045;11;CHIRURGIA PEDIATRICA;A;C;163;INT. ERNIA, ETA' < 18;143;ERNIA ADDOMINALE;6;MALATTIE E DISTURBI APPARATO DIGERENTE;21;19;4;0;2;84;0;2;86;0;0;0;0
2015;326 - ATS DI BRESCIA;030154-01;PRESIDIO OSPEDALIERO DI CHIARI;45.539109;9.933542695;37;OSTETRICIA E GINECOLOGIA;A;M;380;ABORTO SENZA D&C;178;ABORTO INDOTTO;14;GRAVIDANZA, PARTO E PUERPERIO;1;1;0;0;0;2;0;0;2;0;0;0;0
2013;324 - ATS DELLA BRIANZA;030078-00;PRESIDIO OSPEDALIERO DI VIMERCATE;45.6084494;9.3580982;39;PEDIATRIA;A;M;417;SETTICEMIA, ETA' < 18;249;SHOCK;18;MALATTIE INFETTIVE E PARASSITARIE;1;1;1;0;0;1;0;0;1;0;0;0;0
2019;326 - ATS DI BRESCIA;030184-00;OSPEDALE DI MANERBIO;45.35666995;10.14405823;9;CHIRURGIA GENERALE;A;C;267;INT. PERIANALI E PILONIDALI;4;MICOSI;9;MALATTIE E DISTURBI PELLE, TESSUTO SOTTOCUTANEO E MAMMELLA;1;1;1;0;0;1;0;0;1;0;0;0;0
